EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,SalaryBand,PercentSalaryHike,StockOptionLevel,BusinessTravel,DistanceFromHome,OverTime,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotedRecently,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance,PerformanceRating,Attrition,PredictedAttritionRisk,RiskTier
1000,42,Male,Single,Research & Development,Research Director,Technical Degree,1,4,14652,10K-15K,11,0,Travel_Rarely,29,Yes,19,1,17,10+ yr,4,0,0,Promoted <=1yr,1,3,3,4,3,4,3,Yes,0.3174,Moderate
1001,47,Male,Married,Sales,Manager,Other,2,5,18675,15K+ (High),14,0,Travel_Frequently,2,No,25,4,4,4-6 yr,0,3,1,Not Recently Promoted,2,2,3,1,3,2,4,No,0.3214,Moderate
1002,23,Male,Single,Sales,Manager,Life Sciences,3,1,3354,3K-6K,15,1,Travel_Rarely,6,Yes,0,3,0,0-1 yr,0,0,0,Promoted <=1yr,3,3,3,2,4,3,3,No,0.8029,Critical
1003,30,Male,Married,Research & Development,Healthcare Representative,Life Sciences,4,2,4516,3K-6K,12,0,Travel_Rarely,2,No,9,3,3,2-3 yr,1,0,0,Promoted <=1yr,4,1,4,2,4,3,3,No,0.4657,Moderate
1004,49,Male,Single,Sales,Sales Representative,Marketing,4,5,20000,15K+ (High),14,1,Travel_Rarely,14,No,28,2,0,0-1 yr,0,0,0,Promoted <=1yr,6,2,3,4,2,2,4,No,0.3725,Moderate
1005,42,Male,Married,Research & Development,Research Scientist,Other,4,5,20000,15K+ (High),19,1,Travel_Rarely,15,No,20,0,3,2-3 yr,1,3,0,Not Recently Promoted,6,1,2,2,2,4,3,No,0.2964,Moderate
1006,42,Female,Divorced,Sales,Sales Representative,Marketing,3,4,10777,10K-15K,15,2,Travel_Rarely,10,No,19,4,1,0-1 yr,0,0,1,Promoted <=1yr,6,2,2,4,3,4,4,Yes,0.4753,Moderate
1007,38,Male,Single,Research & Development,Manager,Life Sciences,3,3,7382,6K-10K,15,0,Travel_Rarely,12,No,15,2,15,10+ yr,1,3,0,Not Recently Promoted,1,1,1,4,3,3,3,No,0.7418,High
1008,29,Female,Single,Sales,Sales Executive,Other,3,2,6462,6K-10K,11,0,Travel_Rarely,4,No,8,2,2,2-3 yr,0,0,0,Promoted <=1yr,2,3,1,3,3,3,4,No,0.5253,High
1009,31,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,3,2,6624,6K-10K,20,0,Travel_Rarely,2,No,8,0,0,0-1 yr,0,0,0,Promoted <=1yr,4,2,4,1,3,4,3,No,0.3658,Moderate
1010,29,Male,Married,Sales,Manager,Marketing,3,2,5483,3K-6K,11,0,Travel_Rarely,8,No,8,4,0,0-1 yr,0,0,0,Promoted <=1yr,2,4,1,3,1,3,3,Yes,0.341,Moderate
1011,44,Male,Married,Sales,Sales Executive,Life Sciences,2,4,11016,10K-15K,14,0,Non-Travel,5,Yes,21,3,11,10+ yr,2,0,3,Promoted <=1yr,2,1,3,4,3,4,3,Yes,0.4907,Moderate
1012,41,Male,Married,Research & Development,Manager,Life Sciences,4,4,11612,10K-15K,11,0,Travel_Rarely,3,No,17,2,1,0-1 yr,1,1,1,Promoted <=1yr,2,1,2,3,3,2,3,No,0.4751,Moderate
